Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Turnip,1,1,1,Veg,519,9.7,23.0,5.66,429.3,392,429.4,5.7,9.1,4,11.0
Milk,1,1,0,Veg,398,13.5,5.9,12.33,49.3,255,404.4,23.9,7.8,14,6.7
Nutmeg,0,0,0,Non-Veg,189,0.6,47.5,4.08,192.9,1789,1131.4,66.1,13.8,3,9.4
Cashews,1,1,1,Veg,570,15.8,7.8,5.48,210.6,938,1426.3,8.3,18.8,24,47.4
Brown Rice,1,1,1,Non-Veg,425,16.2,15.7,1.94,66.9,981,709.3,148.9,4.7,30,14.2
Sweet Potato,0,1,1,Non-Veg,595,7.1,49.9,12.31,355.4,662,1283.5,6.8,19.8,17,31.7
Cauliflower,0,1,0,Veg,535,7.7,18.1,10.28,476.1,615,1219.4,37.2,10.2,39,38.9
Almonds,0,0,0,Veg,139,3.2,17.5,18.29,237.4,1368,449.0,84.0,17.9,28,28.9
Corn,1,1,0,Veg,143,1.1,25.9,17.74,429.4,10,1728.1,145.1,15.3,2,43.7
Radish,1,1,1,Non-Veg,101,19.1,47.7,5.18,454.1,113,18.1,145.3,4.7,38,11.6
Eggplant,1,1,0,Veg,261,2.8,25.4,3.26,208.4,1442,1502.5,56.9,17.4,19,40.6
Salmon,0,0,0,Non-Veg,259,18.8,32.0,6.05,202.1,1359,1053.8,20.9,14.6,41,30.9
Cucumber,1,1,1,Veg,94,12.7,7.6,5.88,261.4,567,442.4,135.2,2.2,26,18.5
Eggs,0,1,0,Veg,259,19.7,15.9,0.11,159.7,1556,242.1,117.1,16.7,15,44.4
Chickpeas,1,0,1,Veg,344,9.1,9.3,15.78,30.7,71,475.6,40.3,3.4,10,35.6
Red Bell Pepper,0,1,0,Non-Veg,50,16.3,24.2,17.49,386.9,495,143.7,25.0,10.5,9,15.4
Banana,0,1,0,Veg,366,5.2,31.2,7.03,41.3,577,1380.0,95.4,11.9,8,15.4
Watermelon,0,1,0,Veg,249,1.5,15.9,3.98,44.8,1476,142.6,113.8,12.3,48,2.9
Cauliflower,0,0,1,Non-Veg,590,13.8,7.2,6.83,382.6,764,67.2,127.9,11.8,22,37.0
Leek,1,1,0,Non-Veg,461,17.9,11.8,17.09,304.4,379,651.7,66.2,16.8,7,0.2
Garlic,0,1,0,Veg,475,1.4,48.8,4.3,211.6,1084,1419.7,107.2,6.5,33,44.6
Chili Powder,0,1,0,Non-Veg,591,10.4,11.0,18.82,399.6,890,1669.9,55.1,2.4,13,8.1
Sage,0,1,1,Veg,227,13.4,8.0,7.63,193.3,1818,467.9,121.8,18.1,13,43.4
Cloves,0,0,1,Non-Veg,234,14.1,28.3,16.35,293.3,1420,1276.4,102.1,10.7,37,8.8
Walnuts,0,0,0,Non-Veg,547,1.1,49.9,6.99,225.9,824,754.8,22.0,13.8,13,31.1
Nutmeg,0,0,1,Non-Veg,354,17.3,10.8,16.07,188.2,810,55.0,3.2,16.9,29,20.4
Collard Greens,0,1,0,Veg,390,6.5,24.4,18.38,317.0,1893,1394.0,107.7,12.4,3,29.9
Mango,0,1,1,Non-Veg,533,6.0,31.8,11.99,382.4,1451,366.3,119.4,7.6,29,42.0
Cardamom,0,0,0,Veg,250,1.4,6.6,18.68,159.1,35,1710.2,98.8,5.3,12,8.4
Walnuts,1,0,0,Non-Veg,440,11.8,27.6,5.31,466.2,283,25.2,42.1,3.5,36,5.4
Mint,1,0,0,Non-Veg,484,8.3,6.1,4.65,341.3,888,1442.6,6.2,18.0,27,18.0
Green Beans,0,0,1,Non-Veg,480,19.0,22.3,3.69,7.2,1805,835.4,47.3,17.5,19,7.4
Peach,1,1,0,Veg,340,2.4,49.3,18.41,44.7,364,14.2,32.5,12.5,42,46.3
Mint,0,1,0,Non-Veg,469,5.4,13.9,12.23,454.7,290,1984.7,17.4,3.7,28,9.6
Fenugreek,1,1,0,Veg,143,5.2,36.9,6.58,61.6,10,907.0,140.6,18.2,11,14.0
Salmon,0,0,0,Veg,504,18.9,29.0,6.79,414.9,1795,1817.8,133.9,2.6,7,30.6
Leek,0,0,0,Non-Veg,158,3.1,23.7,11.46,475.6,1773,1245.3,115.2,3.5,30,47.2
Pineapple,1,0,1,Veg,496,19.8,45.5,0.11,195.1,42,625.7,85.5,8.9,13,44.0
Kale,1,1,1,Non-Veg,86,18.2,33.2,10.65,88.6,1666,1578.4,10.5,11.3,5,14.9
Green Beans,1,0,0,Non-Veg,123,17.1,10.1,3.93,213.3,1164,1779.6,88.7,16.0,26,16.9
Blueberries,1,0,0,Non-Veg,534,11.9,32.6,3.91,404.0,1841,85.8,98.4,14.9,22,40.2
Eggplant,0,1,1,Veg,211,19.6,16.5,17.68,427.3,255,439.2,74.2,2.3,19,19.8
Kiwi,0,1,0,Veg,98,5.9,11.3,14.44,242.3,638,1179.4,44.9,3.8,6,17.9
Cucumber,1,1,1,Non-Veg,235,6.9,32.5,19.34,404.2,1860,1136.4,137.2,13.5,13,36.3
Black Beans,1,0,1,Veg,389,14.3,33.0,9.55,409.1,262,1686.8,42.8,3.7,34,22.5
Ginger,0,0,0,Veg,387,13.6,47.8,3.51,61.4,929,669.0,27.4,16.9,1,34.3
Leek,0,0,0,Veg,532,16.7,43.5,11.26,371.5,1343,129.0,44.8,12.8,36,48.8
Zucchini,1,1,1,Veg,458,14.9,8.2,13.27,385.2,1952,919.8,18.6,8.5,48,21.1
Mango,1,0,1,Veg,538,13.4,28.3,17.44,8.9,1343,1497.8,11.7,10.0,1,2.7
Turmeric,0,1,1,Veg,557,16.1,10.1,6.48,54.1,1615,1070.8,57.6,2.2,46,48.3
Cardamom,1,1,0,Non-Veg,214,19.7,20.3,3.03,120.9,1874,961.6,62.2,18.4,15,18.3
Beet,1,0,1,Veg,221,12.3,9.8,13.44,153.9,282,104.9,6.8,5.5,29,29.7
Parsley,1,1,0,Non-Veg,495,10.4,24.3,6.99,39.5,1497,621.4,62.5,0.3,0,10.5
Cloves,1,1,0,Non-Veg,381,3.1,16.2,18.94,357.1,468,1684.8,102.3,3.9,48,37.7
Fennel Seeds,0,0,0,Non-Veg,569,8.0,36.1,13.06,279.7,447,788.0,122.5,15.7,10,32.2
Mushrooms,1,0,0,Non-Veg,328,11.1,9.9,10.5,233.7,473,477.6,46.9,2.2,28,23.0
Kale,1,1,1,Non-Veg,296,1.0,35.6,8.77,306.3,1141,1321.8,81.3,16.6,32,46.2
Kiwi,0,1,0,Non-Veg,474,19.3,25.4,3.61,134.2,356,656.1,115.4,11.6,5,21.9
Spinach,0,1,0,Non-Veg,210,1.8,2.4,7.08,441.2,1829,811.6,89.8,18.2,19,18.4
Mango,0,1,1,Non-Veg,421,20.0,32.0,10.6,101.0,1732,22.2,65.8,1.5,13,46.9
Kidney Beans,1,1,1,Non-Veg,180,5.0,22.6,18.4,487.6,1078,629.1,123.5,18.2,12,14.4
Almonds,0,1,0,Non-Veg,124,14.5,21.8,9.22,488.1,1607,1757.6,72.0,8.3,49,33.1
Pear,0,0,0,Veg,122,9.7,21.4,9.46,89.2,1573,972.2,65.4,16.3,30,2.4
Squash,1,1,1,Non-Veg,314,1.2,3.4,10.65,213.7,1646,1876.6,29.2,7.8,44,34.1
Cardamom,0,0,0,Non-Veg,62,4.5,10.0,6.27,142.9,1547,1242.5,59.5,2.1,49,30.8
Pear,0,0,0,Veg,539,19.3,41.3,10.06,291.1,1004,1431.8,66.1,17.7,45,11.7
Chickpeas,0,0,0,Non-Veg,418,10.5,43.0,7.59,53.9,1249,704.4,18.9,0.5,10,4.0
Corn,1,0,1,Veg,219,16.5,33.5,16.34,56.0,410,1388.3,148.2,8.8,48,22.0
Mushrooms,0,0,0,Veg,330,18.1,10.6,16.68,423.5,1050,1000.7,105.1,7.5,42,37.9
Corn,1,0,1,Veg,138,0.5,34.4,11.82,390.3,1451,109.1,91.2,7.1,2,2.2
Pineapple,1,0,0,Non-Veg,455,14.5,18.6,11.17,257.9,1219,730.7,110.8,9.2,49,39.3
Plum,1,0,1,Non-Veg,128,8.5,34.6,12.45,473.7,771,908.5,35.7,1.1,43,10.9
Sage,1,0,0,Veg,419,2.2,39.0,11.1,256.5,802,471.3,140.5,14.3,45,12.8
Cucumber,1,1,1,Non-Veg,486,9.2,33.9,2.82,255.3,332,323.2,133.6,2.8,6,50.0
Mustard Seeds,1,0,1,Non-Veg,180,18.9,24.8,15.57,187.4,554,925.7,95.2,5.9,35,3.3
Yogurt,0,0,0,Non-Veg,188,9.5,42.8,10.16,81.8,1877,1634.1,88.5,19.2,38,30.9
Pineapple,0,0,1,Veg,497,4.7,19.5,15.74,194.8,164,1712.1,9.4,16.9,6,26.7
Cumin,1,0,0,Veg,550,9.6,18.5,11.85,249.0,56,995.8,42.3,10.1,16,49.9
Milk,1,0,1,Non-Veg,544,9.3,10.9,8.56,381.9,1560,58.7,142.3,8.1,49,20.0
Parsnip,0,0,0,Non-Veg,343,6.0,40.2,12.12,111.4,1846,666.2,9.5,18.4,42,27.2
Peanut Butter,0,1,1,Non-Veg,337,10.1,18.5,10.88,217.8,1480,1916.5,117.9,18.0,0,9.2
Salmon,0,1,1,Veg,264,11.1,1.5,9.41,285.3,1135,1004.7,21.4,13.0,11,40.1
Cinnamon,1,1,0,Veg,314,5.3,37.3,15.13,235.9,985,710.5,65.1,6.3,0,17.7
Pumpkin,0,0,0,Veg,176,19.9,44.9,16.69,322.9,1175,1298.0,72.2,15.6,21,3.3
Kiwi,1,1,1,Non-Veg,338,7.4,40.8,8.82,127.1,685,594.8,51.9,11.8,43,13.9
Walnuts,0,1,0,Non-Veg,82,14.3,13.0,18.79,405.1,1967,1250.4,18.2,2.5,5,44.6
Rosemary,0,0,0,Veg,497,18.5,47.5,8.22,131.1,1443,1187.9,80.4,2.7,14,30.3
Peanut Butter,1,1,1,Veg,265,3.3,47.4,8.54,365.2,61,1720.1,118.7,5.4,15,46.4
Vanilla,1,0,0,Non-Veg,533,3.2,30.8,2.86,77.5,603,1299.2,145.0,11.4,35,2.4
Kiwi,1,0,1,Non-Veg,112,8.0,47.4,0.49,145.7,997,401.9,59.9,0.7,12,15.9
Banana,0,0,1,Veg,356,16.4,36.9,19.96,207.4,1818,672.0,29.5,17.2,11,31.9
Pear,1,1,1,Non-Veg,520,12.8,38.4,10.46,203.0,1723,677.8,7.9,3.8,29,29.2
Oatmeal,0,0,1,Veg,478,9.1,32.2,3.83,288.2,1978,1941.8,109.3,15.8,23,12.0
Yogurt,0,0,0,Non-Veg,387,8.8,39.1,17.43,29.0,1399,921.5,127.0,16.9,17,4.2
Cashews,1,1,1,Non-Veg,544,11.9,5.1,13.9,411.8,1482,580.9,142.3,7.2,33,27.6
Pineapple,1,1,1,Veg,338,5.3,8.9,17.01,331.3,1509,1549.4,20.2,6.8,38,41.3
Cantaloupe,0,1,0,Non-Veg,399,16.6,33.2,2.23,190.5,1654,773.3,93.8,2.9,19,42.9
Blueberries,0,1,0,Non-Veg,349,6.4,1.6,19.04,53.6,1372,865.8,53.3,12.2,46,25.3
Orange,1,1,1,Non-Veg,592,11.8,47.5,10.14,109.8,1768,1167.6,87.0,6.4,37,8.1
Quinoa,0,1,1,Non-Veg,281,0.9,33.8,8.75,325.7,1104,737.1,148.5,12.7,7,19.9
Almonds,0,0,1,Veg,177,7.6,41.2,10.49,292.9,32,1736.2,111.0,7.2,48,47.6
Zucchini,0,0,0,Veg,430,13.7,40.8,11.6,92.4,1157,990.1,87.9,1.3,17,31.1
Pumpkin,0,1,1,Non-Veg,82,2.1,38.0,6.52,453.7,641,701.6,82.8,9.8,45,26.5
Chickpeas,0,1,1,Non-Veg,542,15.5,10.5,5.72,447.2,1818,106.5,17.8,6.3,40,21.1
Cilantro,1,0,0,Non-Veg,388,5.1,16.4,1.88,165.1,468,1216.9,39.3,17.3,42,2.9
Tomato,1,1,1,Non-Veg,595,18.0,28.0,18.23,461.7,1985,1317.0,10.8,5.4,32,30.0
Coriander,1,1,0,Veg,462,7.9,12.8,11.16,58.1,366,1455.0,67.5,19.9,34,16.8
Broccoli,1,1,0,Non-Veg,79,15.4,19.5,3.77,129.3,1932,372.8,5.6,19.8,4,40.1
Ginger,0,1,0,Veg,546,12.0,41.0,10.45,430.4,1920,846.3,97.0,1.2,21,27.0
Pumpkin,1,1,0,Veg,54,8.4,39.5,3.55,370.4,144,1402.7,23.5,10.5,8,41.0
Beef Steak,0,1,1,Veg,85,8.6,33.5,1.63,46.0,586,836.8,141.5,11.5,44,4.2
Almonds,1,1,0,Non-Veg,482,0.8,3.9,0.75,411.9,233,1500.5,46.1,11.8,34,33.8
Mint,0,0,0,Veg,500,14.0,33.3,17.15,494.2,1831,963.4,6.0,13.8,12,35.3
Ginger,0,1,0,Non-Veg,207,16.8,7.4,14.74,290.7,621,836.0,111.3,4.9,1,46.1
Strawberries,1,0,1,Veg,546,4.3,2.8,6.92,484.1,1082,574.9,33.6,11.3,29,44.2
Cucumber,1,1,0,Veg,378,16.4,41.2,7.7,36.6,1814,906.1,141.7,1.2,27,47.0
Turkey,0,0,0,Veg,208,15.0,6.6,12.56,167.5,769,1009.6,112.1,18.7,10,16.7
Orange,1,1,1,Veg,484,17.6,7.9,19.44,138.8,621,427.2,122.6,16.1,32,25.6
Chili Powder,0,0,1,Non-Veg,304,18.2,10.7,0.25,18.2,116,488.9,74.4,9.4,29,32.4
Ginger,0,0,0,Non-Veg,184,5.2,16.5,10.47,177.7,1030,1914.0,10.4,9.9,44,41.3
Turnip,0,1,0,Non-Veg,592,3.0,1.3,3.79,199.3,958,247.2,101.5,11.9,5,48.0
Thyme,0,1,0,Non-Veg,299,17.6,16.3,15.27,62.7,876,1568.3,149.2,3.5,42,21.0
Pork Chop,0,1,1,Non-Veg,51,15.9,3.2,9.14,23.7,1049,300.0,149.8,11.6,4,29.0
Turmeric,0,1,1,Veg,499,0.6,1.4,5.35,405.3,246,1535.0,52.2,3.6,8,23.9
Radish,1,0,1,Non-Veg,208,14.8,20.7,17.26,122.6,484,272.0,22.4,3.4,34,45.6
Rosemary,1,0,0,Non-Veg,576,6.8,34.6,16.59,74.6,1138,1968.2,125.4,11.8,32,38.9
Red Bell Pepper,1,1,0,Non-Veg,117,8.6,22.3,13.69,30.6,1589,1998.1,9.8,6.8,18,41.6
Cloves,0,0,0,Veg,328,12.1,49.1,5.54,220.8,1067,1389.1,57.9,12.3,25,10.2
Chickpeas,0,0,0,Non-Veg,73,19.1,39.9,13.66,185.5,1672,1818.2,36.6,18.0,21,1.3
Onion,1,1,1,Veg,351,2.2,29.3,13.89,18.4,626,919.0,117.4,0.8,11,19.2
Kidney Beans,0,0,1,Veg,593,0.3,4.1,14.38,79.2,1064,565.8,111.9,14.8,44,25.8
Pineapple,1,1,0,Non-Veg,77,13.1,41.5,12.24,447.4,99,99.5,125.3,11.0,23,22.7
Grapes,1,0,1,Veg,427,0.2,47.4,8.3,137.2,1443,668.9,46.9,18.7,1,38.4
Mustard Seeds,0,1,1,Non-Veg,102,19.9,22.6,5.33,370.8,1937,1009.5,118.9,7.5,5,8.8
Oatmeal,0,1,0,Veg,294,1.5,38.3,13.49,369.5,931,457.4,62.9,14.1,1,35.8
Apricot,1,0,1,Veg,287,9.5,20.5,12.51,173.7,713,460.9,17.1,14.2,36,40.9
Cantaloupe,1,0,1,Non-Veg,420,9.6,12.7,8.57,372.1,204,1585.6,113.8,2.8,5,8.8
Turmeric,0,1,1,Non-Veg,191,5.3,6.0,14.15,95.4,1347,752.3,32.5,14.0,7,14.6
Sweet Potato,0,1,0,Veg,297,1.3,48.8,2.17,231.2,1689,947.5,131.3,7.3,33,37.8
Plum,0,1,0,Veg,254,15.0,8.1,10.02,74.1,1423,1951.4,27.4,17.9,41,26.2
Mint,0,1,1,Veg,551,17.5,45.4,8.62,131.8,1412,1854.0,93.8,19.5,3,21.3
Chili Powder,0,0,1,Veg,91,6.4,46.7,10.38,128.4,204,1688.8,90.4,14.3,9,43.3
Black Beans,0,1,0,Veg,278,16.8,44.2,18.34,128.8,1966,193.3,72.7,18.0,13,33.5
Cheese,0,1,0,Non-Veg,124,18.2,35.9,18.98,169.7,1022,566.7,27.3,3.1,22,21.6
Kidney Beans,1,1,1,Veg,373,19.6,20.7,16.1,375.2,48,1349.8,115.8,16.5,49,31.2
Celery,1,1,0,Non-Veg,353,14.0,22.4,6.98,360.8,1206,1037.8,12.4,5.9,24,37.0
Strawberries,0,1,0,Veg,565,8.7,18.7,0.23,415.8,880,1914.6,20.5,3.6,44,33.0
Chili Powder,1,0,0,Veg,235,16.9,18.4,13.23,116.2,1886,477.9,72.4,16.2,49,35.8
Chickpeas,1,0,1,Veg,318,9.2,44.6,2.62,187.2,714,471.1,66.3,1.7,42,29.9
Mint,1,1,1,Non-Veg,188,15.7,11.5,18.67,442.0,368,1920.8,58.8,11.0,35,31.7
Cardamom,1,1,1,Non-Veg,376,18.3,17.9,19.8,224.5,503,607.1,141.4,15.8,21,13.3
Sage,0,1,0,Veg,512,12.9,36.7,4.58,312.1,112,1184.3,54.6,11.1,1,1.6
Chickpeas,1,1,0,Non-Veg,472,14.4,5.8,6.6,16.7,825,1356.0,63.6,1.1,5,4.0
Mustard Seeds,0,1,0,Veg,553,15.0,36.9,15.64,442.7,559,965.2,149.9,5.8,39,13.9
Avocado,0,0,0,Veg,412,16.4,36.6,7.52,205.3,715,371.2,2.6,16.0,48,40.5
Raspberries,1,1,0,Veg,452,6.9,18.0,19.73,171.4,1994,850.0,120.1,2.5,47,44.3
Blueberries,0,0,0,Non-Veg,190,18.1,43.1,3.42,288.8,878,1795.5,136.5,6.0,14,13.3
Basil,1,0,0,Non-Veg,53,17.9,20.4,1.85,391.6,176,1457.9,27.8,14.0,37,37.7
Squash,1,1,1,Veg,371,15.2,41.4,1.94,228.8,235,1865.3,71.9,17.5,38,18.8
Cardamom,0,0,1,Non-Veg,152,0.3,45.6,7.96,210.9,1196,677.1,71.3,7.7,48,19.0
Red Bell Pepper,1,1,1,Non-Veg,554,12.1,12.2,1.46,296.9,979,1380.0,143.0,4.3,49,4.8
Blueberries,1,1,0,Veg,224,17.0,33.3,7.08,457.6,388,1452.4,149.5,19.1,37,27.4
Garlic,1,0,0,Veg,319,16.8,46.2,11.64,346.1,1944,447.7,121.4,8.0,40,23.1
Mushrooms,1,0,1,Veg,106,17.2,30.6,3.97,499.0,792,1566.5,89.9,17.0,4,45.3
Fennel Seeds,0,0,0,Non-Veg,309,18.1,10.3,2.23,262.5,1951,893.7,117.5,0.2,0,25.9
Brussels Sprouts,0,0,0,Non-Veg,485,18.1,41.1,5.32,407.2,1857,1947.3,96.0,7.4,0,23.7
Carrot,0,1,0,Non-Veg,265,17.4,27.2,7.23,46.6,1247,921.0,55.8,6.7,26,8.2
Kiwi,0,1,1,Non-Veg,489,2.4,49.2,12.17,303.9,1230,936.6,93.6,18.1,11,47.9
Pumpkin,0,1,1,Veg,173,6.2,17.5,2.88,183.5,441,930.5,94.7,14.9,22,16.1
Fennel Seeds,1,1,0,Veg,267,0.7,10.5,0.33,108.9,138,17.1,47.4,4.9,46,17.5
Walnuts,0,1,0,Non-Veg,484,7.6,46.3,8.03,36.7,261,959.3,54.7,16.7,35,39.6
Apple,0,1,1,Non-Veg,371,15.6,29.7,16.65,416.8,1333,847.5,139.2,5.3,7,44.6
Grapes,0,1,0,Non-Veg,387,4.9,34.3,5.97,20.5,1357,194.5,29.6,4.5,21,48.7
Cinnamon,0,1,0,Non-Veg,73,4.8,4.0,13.06,65.3,360,410.6,92.2,4.5,2,48.6
Peanut Butter,1,1,0,Non-Veg,147,1.0,34.8,1.6,396.1,1881,848.5,24.4,19.5,4,14.6
Cantaloupe,1,0,0,Veg,174,11.8,13.2,14.77,15.3,460,947.8,145.3,8.2,9,45.1
Sage,0,0,1,Non-Veg,59,14.1,16.6,5.83,227.6,650,1280.2,74.4,1.9,12,18.4
Plum,1,1,0,Veg,485,1.1,38.9,5.03,296.1,1670,1790.1,127.6,10.0,25,20.7
Cauliflower,0,1,1,Non-Veg,134,7.9,32.0,3.85,123.2,1067,272.2,135.4,7.4,17,48.8
Carrot,1,1,0,Non-Veg,460,12.3,44.8,17.32,223.7,1706,145.1,41.4,15.6,24,9.9
Leek,0,0,0,Non-Veg,139,18.1,36.1,7.01,20.0,1201,828.6,57.0,15.7,3,0.8
Apple,1,1,1,Non-Veg,273,3.1,20.8,19.97,151.4,342,290.9,49.5,13.8,22,3.4
Fennel Seeds,1,0,0,Veg,491,14.2,21.9,16.65,200.8,402,1600.2,137.7,0.9,2,1.0
Onion,1,1,0,Non-Veg,393,5.3,31.9,16.13,284.1,1595,1500.7,12.9,17.8,37,2.6
Mango,0,1,0,Non-Veg,587,11.3,10.9,8.99,365.5,1261,964.8,129.8,17.0,39,5.9
Mango,1,0,0,Veg,502,13.5,24.6,19.87,199.3,627,541.3,19.1,13.4,10,7.6
Plum,1,1,1,Veg,245,0.2,4.3,1.53,329.1,132,869.7,82.9,4.8,47,13.5
Cinnamon,0,0,0,Non-Veg,590,3.2,23.5,16.75,354.5,348,493.1,62.9,15.6,25,22.0
Paprika,0,0,1,Veg,249,14.0,12.4,12.05,140.8,128,1010.0,45.0,9.1,8,46.8
Broccoli,0,1,1,Non-Veg,405,4.0,45.7,18.41,471.6,734,198.6,53.9,17.8,19,17.6
Grapes,1,1,1,Veg,433,16.3,38.6,1.28,271.6,1096,491.2,21.8,3.9,7,12.0
Corn,1,0,0,Veg,574,14.3,5.2,9.33,165.3,880,1323.3,126.2,9.5,3,35.0
Apricot,1,1,0,Veg,156,16.9,39.8,17.91,317.0,528,274.3,59.1,3.6,13,43.6
Cashews,1,1,1,Veg,553,14.4,30.3,17.71,222.0,907,1349.1,32.7,14.1,49,8.2
Tomato,1,1,0,Non-Veg,161,13.7,26.6,5.62,150.1,305,1064.7,114.6,18.0,6,39.5
Cardamom,0,0,1,Veg,299,16.8,9.7,10.31,39.0,1727,961.1,127.1,11.9,32,47.4
Broccoli,0,0,1,Non-Veg,472,8.5,38.3,11.63,331.2,498,1600.2,5.6,19.1,20,29.8
Cardamom,0,0,1,Non-Veg,586,17.8,27.1,18.8,237.3,1933,806.7,91.3,16.4,20,40.6
Apricot,1,0,1,Non-Veg,516,19.7,15.5,13.43,268.8,1046,456.6,85.0,8.8,33,2.4
Mint,0,1,0,Veg,266,15.2,11.8,18.66,433.8,768,1661.4,47.4,20.0,31,34.9
Paprika,1,0,1,Non-Veg,318,5.0,37.8,2.29,62.2,918,553.1,68.6,14.4,29,26.0
Cloves,0,0,0,Non-Veg,589,8.6,3.4,11.13,180.6,189,1431.7,99.7,4.1,5,26.5
Collard Greens,0,0,1,Veg,465,8.3,31.2,3.9,22.2,1541,1197.9,149.5,19.9,44,32.0
Mango,1,0,1,Veg,94,10.6,49.5,4.25,228.7,1891,676.4,143.5,8.6,27,33.1
Zucchini,0,1,0,Non-Veg,236,13.7,46.0,6.01,160.5,1127,1004.6,129.3,10.7,14,10.2
Banana,0,1,0,Non-Veg,223,0.3,48.4,0.88,10.7,1545,794.4,119.0,12.7,16,5.1
Blueberries,0,0,0,Non-Veg,526,4.3,37.0,6.2,336.2,213,892.8,97.8,6.2,36,42.1
Brussels Sprouts,0,0,1,Non-Veg,581,12.8,9.7,16.47,253.0,419,1495.3,58.6,4.9,38,18.6
Beet,0,1,1,Non-Veg,141,6.9,48.2,15.54,441.1,515,1497.1,93.7,6.0,20,49.1
Raspberries,0,0,1,Non-Veg,300,4.6,45.0,2.05,200.0,306,1244.5,85.9,2.4,42,15.6
Broccoli,0,1,0,Non-Veg,151,14.3,12.5,6.7,151.4,719,603.9,64.2,16.7,28,25.7
Black Beans,1,1,0,Veg,359,16.6,39.9,18.9,35.9,382,392.8,43.3,1.8,25,23.6
Corn,1,0,0,Veg,537,18.2,20.3,3.83,440.2,1679,948.1,111.2,14.2,5,9.3
Onion,1,0,1,Non-Veg,233,17.8,34.0,10.22,384.6,1103,261.0,37.2,9.6,37,46.2
Chili Powder,1,1,1,Veg,260,14.2,16.4,13.0,233.7,200,1275.8,63.5,4.2,27,35.0
Peanut Butter,0,1,1,Veg,236,19.0,7.7,3.82,122.5,1637,161.2,54.9,7.1,45,27.4
Pear,0,1,1,Non-Veg,144,18.3,33.3,6.75,197.4,1704,947.5,5.8,7.9,43,7.6
Milk,1,0,1,Non-Veg,379,4.1,5.4,18.33,39.1,653,1969.1,9.3,14.9,31,3.4
Chickpeas,0,1,0,Veg,72,4.3,6.5,12.54,172.9,1371,407.8,14.2,6.7,15,13.3
Quinoa,0,0,1,Veg,243,9.2,11.8,19.15,6.6,448,88.2,50.3,1.8,0,33.0
Mango,1,1,0,Non-Veg,474,6.7,42.4,7.96,194.1,1728,1537.5,73.1,6.1,5,39.9
Pineapple,1,0,0,Non-Veg,171,19.4,22.4,2.64,428.1,1968,1268.2,141.8,3.5,5,16.1
Mushrooms,1,1,1,Non-Veg,176,14.7,24.3,4.27,343.8,566,1404.0,107.2,14.5,11,31.4
Mango,1,0,0,Non-Veg,463,7.7,33.4,11.16,378.6,1108,302.8,84.4,8.5,31,9.8
Coriander,0,1,1,Veg,418,4.5,45.1,17.77,8.6,538,1465.5,146.2,4.4,18,8.5
Turmeric,0,0,0,Veg,339,15.6,33.3,4.31,441.1,1435,1021.5,59.8,15.9,14,21.4
Zucchini,0,1,1,Veg,103,13.4,47.8,12.64,358.4,1521,1837.4,87.9,14.8,29,49.7
Fenugreek,0,0,0,Non-Veg,537,12.8,3.7,5.19,162.5,1595,1447.4,101.1,17.1,6,22.5
Strawberries,1,0,0,Non-Veg,227,17.7,42.3,6.5,464.0,1515,1689.2,94.8,4.1,27,22.2
Basil,1,1,1,Non-Veg,580,5.2,33.7,4.21,489.8,564,1291.0,1.1,9.5,0,43.7
Parsnip,0,0,1,Non-Veg,591,3.0,25.8,19.15,130.8,916,1040.8,64.4,3.4,43,21.0
Oatmeal,0,1,0,Non-Veg,138,17.5,11.6,15.02,49.8,1064,464.9,5.9,3.9,11,3.5
Sage,1,1,1,Veg,127,0.7,15.5,14.63,412.6,1812,126.9,6.4,15.0,1,29.0
Grapes,0,1,1,Veg,180,19.8,7.4,19.15,121.3,493,710.1,76.9,9.8,9,24.8
Grapes,1,0,0,Non-Veg,580,5.1,26.8,13.81,79.1,952,1132.5,72.8,8.2,33,35.4
Black Beans,1,0,0,Veg,175,10.6,34.0,3.02,471.6,839,42.9,82.8,15.5,2,1.5
Sweet Potato,1,1,0,Non-Veg,458,18.1,35.7,15.72,256.0,84,769.9,91.2,2.8,23,7.4
Kale,1,0,1,Non-Veg,361,8.0,4.7,18.29,377.1,1535,1193.6,149.5,17.8,21,22.4
Beet,0,1,0,Veg,591,5.7,23.7,6.67,302.1,221,1325.3,31.4,10.6,7,42.8
Yogurt,0,0,0,Non-Veg,502,0.5,9.0,14.8,308.1,1697,392.5,14.8,2.7,16,48.3
Collard Greens,0,1,0,Veg,341,18.0,36.3,11.42,344.5,95,1368.3,83.9,5.8,43,36.1
Onion,0,1,1,Non-Veg,351,11.3,36.4,0.6,125.9,1109,458.5,91.9,18.9,26,2.6
Chickpeas,1,1,0,Veg,380,2.7,43.2,3.49,287.8,57,1288.5,29.6,18.1,5,7.7
Raspberries,0,0,0,Veg,319,16.1,48.1,8.73,16.0,549,245.3,18.1,7.7,34,2.7
Basil,0,1,1,Non-Veg,506,6.3,32.6,17.2,159.0,1809,1561.5,113.0,5.2,31,38.4
Nutmeg,0,0,1,Non-Veg,176,0.2,35.8,9.3,109.0,236,115.7,95.6,13.6,6,16.4
Sage,0,1,1,Veg,112,8.5,13.7,8.75,70.2,97,1403.3,125.8,3.6,24,39.0
